request_id,employee_id,leave_type,start_date,end_date,status,reason
LR00385,TN0472,Sick Leave,2026-09-02,2026-09-03,Pending,
LR00386,TN0495,Sick Leave,2026-03-12,2026-03-14,Rejected,
LR00387,TN0461,Sick Leave,2026-08-22,2026-08-23,Pending,
LR00388,TN0136,Earned Leave,2026-08-22,2026-08-24,Approved,
LR00389,TN0201,Earned Leave,2026-05-31,2026-06-01,Approved,
LR00390,TN0098,Sick Leave,2026-01-11,2026-01-13,Rejected,
LR00391,TN0176,Casual Leave,2026-08-02,2026-08-04,Approved,
LR00392,TN0408,Earned Leave,2026-04-27,2026-04-29,Approved,
LR00393,TN0057,Earned Leave,2026-09-06,2026-09-06,Rejected,
LR00394,TN0076,Casual Leave,2026-04-30,2026-05-02,Rejected,
LR00395,TN0495,Sick Leave,2026-03-16,2026-03-18,Rejected,
LR00396,TN0084,Earned Leave,2026-03-19,2026-03-20,Pending,
LR00397,TN0410,Earned Leave,2026-03-17,2026-03-17,Pending,
LR00398,TN0112,Casual Leave,2026-03-14,2026-03-16,Pending,
LR00399,TN0251,Earned Leave,2026-03-20,2026-03-20,Approved,
LR00400,TN0339,Casual Leave,2026-08-02,2026-08-02,Approved,
LR00401,TN0071,Sick Leave,2026-03-31,2026-04-01,Rejected,
LR00402,TN0491,Casual Leave,2026-07-16,2026-07-18,Pending,
LR00403,TN0366,Sick Leave,2026-03-11,2026-03-11,Pending,
LR00404,TN0222,Earned Leave,2026-05-30,2026-05-30,Pending,
LR00405,TN0017,Casual Leave,2026-05-02,2026-05-03,Rejected,
LR00406,TN0327,Earned Leave,2026-04-09,2026-04-10,Pending,
LR00407,TN0458,Sick Leave,2026-03-08,2026-03-09,Approved,
LR00408,TN0089,Sick Leave,2026-05-25,2026-05-26,Approved,
LR00409,TN0412,Sick Leave,2026-05-29,2026-05-29,Pending,
LR00410,TN0129,Sick Leave,2026-02-04,2026-02-05,Pending,
LR00411,TN0155,Earned Leave,2026-03-20,2026-03-20,Rejected,
LR00412,TN0475,Sick Leave,2026-06-10,2026-06-11,Pending,
LR00413,TN0193,Casual Leave,2026-07-20,2026-07-21,Pending,
LR00414,TN0270,Earned Leave,2026-04-24,2026-04-26,Rejected,
LR00415,TN0479,Earned Leave,2026-06-25,2026-06-27,Approved,
LR00416,TN0182,Earned Leave,2026-04-20,2026-04-21,Approved,
LR00417,TN0237,Casual Leave,2026-01-08,2026-01-10,Approved,
LR00418,TN0046,Sick Leave,2026-07-13,2026-07-13,Approved,
LR00419,TN0403,Sick Leave,2026-03-04,2026-03-06,Approved,
LR00420,TN0066,Sick Leave,2026-06-08,2026-06-10,Approved,
LR00421,TN0028,Casual Leave,2026-07-13,2026-07-14,Approved,
LR00422,TN0344,Sick Leave,2026-01-02,2026-01-03,Approved,
LR00423,TN0430,Casual Leave,2026-01-14,2026-01-14,Approved,
LR00424,TN0425,Earned Leave,2026-06-16,2026-06-16,Rejected,
LR00425,TN0050,Sick Leave,2026-07-30,2026-07-31,Approved,
LR00426,TN0354,Casual Leave,2026-03-26,2026-03-26,Rejected,
LR00427,TN0300,Sick Leave,2026-06-22,2026-06-24,Rejected,
LR00428,TN0028,Sick Leave,2026-06-29,2026-06-29,Pending,
LR00429,TN0288,Casual Leave,2026-07-09,2026-07-10,Pending,
LR00430,TN0459,Casual Leave,2026-06-22,2026-06-24,Approved,
LR00431,TN0322,Casual Leave,2026-03-21,2026-03-23,Approved,
LR00432,TN0320,Casual Leave,2026-06-26,2026-06-26,Pending,
LR00433,TN0001,Casual Leave,2026-02-09,2026-02-11,Rejected,
LR00434,TN0050,Casual Leave,2026-03-05,2026-03-05,Approved,
LR00435,TN0013,Earned Leave,2026-08-02,2026-08-04,Approved,
LR00436,TN0029,Earned Leave,2026-08-26,2026-08-26,Approved,
LR00437,TN0248,Sick Leave,2026-02-17,2026-02-17,Approved,
LR00438,TN0421,Earned Leave,2026-06-06,2026-06-08,Rejected,
LR00439,TN0316,Casual Leave,2026-02-01,2026-02-02,Rejected,
LR00440,TN0012,Sick Leave,2026-02-17,2026-02-17,Rejected,
LR00441,TN0124,Sick Leave,2026-02-13,2026-02-15,Rejected,
LR00442,TN0280,Earned Leave,2026-02-21,2026-02-22,Approved,
LR00443,TN0149,Sick Leave,2026-06-20,2026-06-20,Approved,
LR00444,TN0189,Earned Leave,2026-06-20,2026-06-21,Approved,
LR00445,TN0358,Earned Leave,2026-07-24,2026-07-24,Approved,
LR00446,TN0417,Casual Leave,2026-04-19,2026-04-19,Approved,
LR00447,TN0235,Earned Leave,2026-01-31,2026-02-02,Pending,
LR00448,TN0298,Sick Leave,2026-03-19,2026-03-19,Rejected,
LR00449,TN0458,Earned Leave,2026-06-18,2026-06-20,Pending,
LR00450,TN0465,Casual Leave,2026-08-21,2026-08-22,Approved,
LR00451,TN0452,Earned Leave,2026-07-05,2026-07-06,Pending,
LR00452,TN0082,Sick Leave,2026-04-02,2026-04-04,Pending,
LR00453,TN0179,Sick Leave,2026-08-20,2026-08-22,Approved,
LR00454,TN0263,Sick Leave,2026-01-17,2026-01-17,Pending,
LR00455,TN0181,Sick Leave,2026-06-17,2026-06-19,Approved,
LR00456,TN0236,Earned Leave,2026-07-03,2026-07-03,Rejected,
LR00457,TN0156,Casual Leave,2026-08-25,2026-08-26,Rejected,
LR00458,TN0248,Sick Leave,2026-04-07,2026-04-08,Rejected,
LR00459,TN0093,Sick Leave,2026-05-28,2026-05-30,Rejected,
LR00460,TN0270,Sick Leave,2026-03-08,2026-03-08,Approved,
LR00461,TN0302,Earned Leave,2026-09-02,2026-09-04,Rejected,
LR00462,TN0317,Casual Leave,2026-08-01,2026-08-02,Pending,
LR00463,TN0016,Casual Leave,2026-08-07,2026-08-09,Pending,
LR00464,TN0050,Earned Leave,2026-06-20,2026-06-20,Rejected,
LR00465,TN0244,Sick Leave,2026-03-24,2026-03-24,Pending,
LR00466,TN0054,Sick Leave,2026-08-19,2026-08-19,Approved,
LR00467,TN0387,Casual Leave,2026-09-07,2026-09-08,Pending,
LR00468,TN0314,Casual Leave,2026-03-06,2026-03-06,Rejected,
LR00469,TN0038,Sick Leave,2026-04-24,2026-04-25,Rejected,
LR00470,TN0431,Earned Leave,2026-01-08,2026-01-08,Pending,
LR00471,TN0358,Casual Leave,2026-04-26,2026-04-27,Rejected,
LR00472,TN0294,Casual Leave,2026-05-23,2026-05-23,Approved,
LR00473,TN0252,Earned Leave,2026-04-23,2026-04-25,Pending,
LR00474,TN0104,Earned Leave,2026-07-09,2026-07-09,Rejected,
LR00475,TN0415,Casual Leave,2026-07-22,2026-07-22,Rejected,
LR00476,TN0013,Casual Leave,2026-06-11,2026-06-13,Pending,
LR00477,TN0018,Casual Leave,2026-07-27,2026-07-27,Approved,
LR00478,TN0397,Sick Leave,2026-04-15,2026-04-17,Pending,
LR00479,TN0175,Sick Leave,2026-02-17,2026-02-19,Rejected,
LR00480,TN0329,Casual Leave,2026-05-16,2026-05-17,Pending,
LR00481,TN0293,Sick Leave,2026-07-31,2026-08-01,Approved,
LR00482,TN0183,Casual Leave,2026-06-08,2026-06-10,Pending,
LR00483,TN0225,Earned Leave,2026-04-20,2026-04-22,Pending,
LR00484,TN0292,Sick Leave,2026-01-21,2026-01-21,Approved,
LR00485,TN0052,Casual Leave,2026-01-31,2026-02-01,Pending,
LR00486,TN0308,Casual Leave,2026-05-19,2026-05-20,Pending,
LR00487,TN0421,Earned Leave,2026-08-29,2026-08-30,Approved,
LR00488,TN0361,Casual Leave,2026-04-02,2026-04-02,Approved,
LR00489,TN0039,Casual Leave,2026-05-17,2026-05-19,Rejected,
LR00490,TN0478,Earned Leave,2026-06-06,2026-06-08,Approved,
LR00491,TN0317,Sick Leave,2026-01-15,2026-01-17,Pending,
LR00492,TN0299,Sick Leave,2026-05-01,2026-05-02,Pending,
LR00493,TN0017,Earned Leave,2026-03-28,2026-03-29,Pending,
LR00494,TN0172,Casual Leave,2026-08-16,2026-08-16,Pending,
LR00495,TN0281,Earned Leave,2026-07-29,2026-07-31,Rejected,
LR00496,TN0468,Casual Leave,2026-08-13,2026-08-13,Approved,
LR00497,TN0038,Sick Leave,2026-07-26,2026-07-28,Rejected,
LR00498,TN0428,Earned Leave,2026-07-15,2026-07-15,Pending,
LR00499,TN0487,Sick Leave,2026-04-17,2026-04-19,Rejected,
LR00500,TN0476,Earned Leave,2026-01-21,2026-01-23,Pending,
LR00501,TN0001,Casual Leave,2026-10-12,2026-10-13,Pending,Personal work
LR00502,TN0001,Casual Leave,2026-10-12,2026-10-13,Pending,Personal work
